DOI,Field,Subfield,First_Author_Country,Publication_Day,Publication_Month,Publication_Year,Data_Generated,Data_Section_Text_Generated,Data_Shared,Data_Section_Text_Shared,Data_Location,Data_Sharing_Accessions,Data_Sharing_URLs,Data_Sharing_DOIs,Data_Sharing_Repositories,DAS,Code_Generated,Code_Section_Text_Generated,Code_Shared,Code_Section_Text_Shared,Code_Location,Code_Sharing_URLs,Code_Sharing_Repositories,Preprint_Match,Preprint_DOI,Preprint_Day,Preprint_Month,Preprint_Year,Preprint_URL,Preprint_Server
10.1126/science.abd6775,Environmental Science,Ecology,Australia,29,4,2021,Yes,fulltext,Yes,DA,Online,NA,https://doi.org/10.6084/m9.figshare.13668794,10.6084/m9.figshare.13668794,figshare,Data and materials availability,Yes,DA,Yes,DA,Online,https://doi.org/10.6084/m9.figshare.13668794,figshare,No,NA,NA,NA,NA,NA,NA
10.1126/science.abd7213,Physics and Astronomy,Condensed Matter Physics,United States of America,19,5,2022,No,NA,Yes,DA,Online,NA,https://doi.org/10.5281/zenodo.6020036,10.5281/zenodo.6020036,Zenodo,Data and materials availability,Yes,DA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abd7331,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,14,1,2021,No,NA,Yes,DA,Online,NA,https://github.com/brianhie/viral-mutation,"10.5281/zenodo.4034681, 10.5281/zenodo.4029296, 10.1016/j.chom.2020.11.007","Zenodo, Github",Data and materials availability,Yes,DA,Yes,DA,Online,https://github.com/brianhie/viral-mutation,NA,Yes,10.1101/2020.07.08.193946,10,7,2020,https://doi.org/10.1101/2020.07.08.193946,bioRxiv
10.1126/science.abd7645,Physics and Astronomy,Astronomy and Astrophysics,Germany,5,3,2021,No,NA,Yes,DA,Online,NA,NA,NA,NA,Data and materials availability,Yes,DA,Yes,DA,Online,"https://github.com/nespinoza/juliet, https://github.com/RoryBarnes/EqTide, https://github.com/3fon3fonov/exostriker",NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abd7716,Earth and Planetary Sciences,Atmospheric Science,United States of America,25,2,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,Yes,10.48550/arxiv.2005.10134,NA,NA,2020,https://arxiv.org/abs/2005.10134,arXiv
10.1126/science.abd7726,Physics and Astronomy,Condensed Matter Physics,United States of America,9,7,2021,Yes,fulltext,Yes,DA,Online,NA,NA,10.7910/dvn/gcy8dx,HarvardDataverse,Data and materials availability,No,NA,No,NA,NA,NA,NA,Yes,10.48550/arxiv.2105.11300,NA,NA,2021,https://arxiv.org/abs/2105.11300,arXiv
10.1126/science.abd8206,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",France,16,9,2021,No,NA,Yes,DA,Online,NA,https://doi.org/10.5281/zenodo.5070466,10.5281/zenodo.5070466,Zenodo,Data and materials availability,Yes,DA,Yes,DA,Online,https://doi.org/10.5281/zenodo.5070466,Zenodo,Yes,10.48550/arxiv.2010.15739,NA,NA,2020,https://arxiv.org/abs/2010.15739,arXiv
10.1126/science.abd8377,"Biochemistry, Genetics and Molecular Biology",Biochemistry,United States of America,10,6,2021,Yes,fulltext,Yes,DA,Online,prjna637626,NA,NA,NCBIBioproject,Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abd8408,Chemistry,Organic Chemistry,United States of America,21,5,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abd8576,Materials Science,Biomaterials,China,25,2,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abd8694,Social Sciences,Political Science and International Relations,United States of America,11,2,2021,Yes,"DA,Method",No,NA,NA,NA,NA,NA,NA,Data and materials availability,Yes,DA,Yes,DA,Online,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abd8971,"Biochemistry, Genetics and Molecular Biology",Genetics,China,26,8,2021,Yes,fulltext,Yes,"DA,Supplementary","Supplementary Material,Online",prjna655606,NA,NA,"NCBIBioproject, BioProject, Sequence Read Archive, SRA",Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abd9088,Engineering,Electrical and Electronic Engineering,Switzerland,22,7,2021,Yes,fulltext,Yes,DA,Online,NA,"http://doi.org/10.5281/zenodo.4789471, http://doi.org/10.5281/zenodo4813152, http://doi.org/10.5281/zenodo.4813152","10.5281/zenodo.4789471, 10.5281/zenodo4813152, 10.5281/zenodo.4813152",Zenodo,Data and materials availability,Yes,DA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abd9191,Physics and Astronomy,Astronomy and Astrophysics,Canada,18,3,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
